first_name,last_name,date_of_birth,league,team,jersey_number
Stephen,Curry,1988-03-14,NBA,Golden State Warriors,30
Klay,Thompson,1990-02-08,NBA,Golden State Warriors,11
James,LeBron,1984-12-30,NBA,Los Angeles Lakers,23
Sidney,Crosby,1987-08-07,NHL,Pittsburgh Penguins,87
Anže,Kopitar,1987-08-24,NHL,Los Angeles Kings,11
Damian,Lillard,1990-07-15,NBA,Portland Trail Blazers,0
Alexander,Ovechkin,1985-09-17,NHL,Washington Capitals,8
Patrick,Mahomes,1995-09-17,NFL,Kansas City Chiefs,15
Madison,Bumgarner,1989-08-01,MLB,Arizona Diamondbacks,40
Brandon,Belt,1988-04-20,MLB,San Francisco Giants,9
